City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
332,Darnah,LY,32.767,22.6367,67.64,57,24,10.49,few clouds
333,Baykit,RU,61.67,96.37,-22.11,99,50,3.38,scattered clouds
334,Pavino,RU,59.1139,46.1414,8.94,96,80,1.59,broken clouds
335,Chokurdakh,RU,70.6333,147.9167,0.73,98,100,4.18,light snow
336,Igarka,RU,67.4667,86.5833,3.58,97,100,11.16,overcast clouds
337,Dasuya,IN,31.8183,75.6597,62.51,35,76,1.86,broken clouds
338,Inhambane,MZ,-23.865,35.3833,77.22,70,52,12.5,broken clouds
339,Saint-Claude,FR,46.5,5.8333,37.08,84,91,2.42,overcast clouds
340,Itaituba,BR,-4.2761,-55.9836,87.96,70,75,11.5,broken clouds
341,Churapcha,RU,62.0025,132.4325,-26.27,99,100,1.14,overcast clouds
342,Jijiga,ET,9.35,42.8,70.16,17,42,12.68,scattered clouds
343,Strezhevoy,RU,60.7333,77.5889,-12.37,98,19,5.03,few clouds
344,Henties Bay,NA,-22.116,14.2845,64.85,79,5,17.18,clear sky
345,Yulara,AU,-25.2406,130.9889,78.24,17,1,9.28,clear sky
346,Jinchang,CN,38.4953,102.1739,21.13,50,7,4.72,clear sky
